"org.apache.tomcat.util.buf.CharChunk.allocate(int, int)","0.1426364","0.012 ms","0.012 ms","1"
"org.apache.catalina.util.ParameterMap.clear()","0.13075003","0.011 ms","0.011 ms","1"
"org.apache.tomcat.util.buf.MessageBytes.setCharset(java.nio.charset.Charset)","0.13075003","0.011 ms","0.011 ms","1"
"org.apache.catalina.connector.RequestFacade.getAttribute(String)","0.13075003","0.011 ms","0.07 ms","3"
"org.apache.coyote.Response.getNote(int)","0.118863665","0.01 ms","0.01 ms","1"
"org.apache.tomcat.util.buf.ByteChunk.indexOf(String, int, int, int)","0.118863665","0.01 ms","0.01 ms","2"
"org.apache.catalina.connector.Request.getRequest()","0.118863665","0.01 ms","0.01 ms","1"
"org.apache.catalina.util.InstanceSupport.fireInstanceEvent(String, javax.servlet.Servlet, javax.servlet.ServletRequest, javax.servlet.ServletResponse)","0.118863665","0.01 ms","0.01 ms","2"
"org.apache.catalina.connector.InputBuffer.close()","0.1069773","0.009 ms","0.009 ms","1"
"org.apache.tomcat.util.http.mapper.Mapper.internalMapWildcardWrapper(org.apache.tomcat.util.http.mapper.Mapper.Wrapper[], int, org.apache.tomcat.util.buf.CharChunk, org.apache.tomcat.util.http.mapper.MappingData)","0.1069773","0.009 ms","0.01 ms","1"
"org.apache.coyote.Response.setContentLength(int)","0.09509093","0.008 ms","0.007 ms","2"
"org.apache.tomcat.util.http.mapper.Mapper.nthSlash(org.apache.tomcat.util.buf.CharChunk, int)","0.09509093","0.008 ms","0.008 ms","1"
"org.apache.catalina.connector.Response.getResponse()","0.09509093","0.008 ms","0.008 ms","1"
"org.apache.coyote.http11.Http11Processor.statusDropsConnection(int)","0.09509093","0.008 ms","0.008 ms","1"
"org.apache.catalina.connector.CoyoteWriter.recycle()","0.08320457","0.007 ms","0.007 ms","1"
"org.apache.tomcat.util.http.MimeHeaders.getValue(int)","0.0713182","0.006 ms","0.006 ms","2"
"org.apache.tomcat.util.buf.MessageBytes.toChars()","0.059431832","0.005 ms","0.006 ms","2"
"org.apache.tomcat.util.buf.ByteChunk.allocate(int, int)","0.059431832","0.005 ms","0.005 ms","1"
"org.apache.catalina.core.StandardPipeline.getFirst()","0.047545467","0.004 ms","0.004 ms","4"
"org.apache.tomcat.util.buf.CharChunk.recycle()","0.047545467","0.004 ms","0.004 ms","6"
"org.apache.tomcat.util.http.MimeHeaders.getName(int)","0.0356591","0.003 ms","0.003 ms","2"
"org.apache.tomcat.util.http.mapper.Mapper.lastSlash(org.apache.tomcat.util.buf.CharChunk)","0.023772733","0.002 ms","0.002 ms","1"
"org.apache.tomcat.util.buf.CharChunk.startsWith(String)","0.023772733","0.002 ms","0.002 ms","3"
"org.apache.coyote.http11.InternalOutputBuffer.endHeaders()","0.023772733","0.002 ms","0.002 ms","1"
"org.apache.tomcat.util.buf.CharChunk.getLength()","0.011886367","0.001 ms","0.001 ms","3"
"org.apache.catalina.core.ApplicationFilterChain.release()","0.011886367","0.001 ms","0.001 ms","1"
